region,year,min,nominal,max
BHS,2006,,,
BGD,2006,,,
BEN,2006,2600.0,5500.0,11000.0
BOL,2006,800.0,1100.0,1400.0
BDI,2006,4400.0,5500.0,6700.0
CMR,2006,36000.0,40000.0,43000.0
COL,2006,7600.0,9900.0,12000.0
COG,2006,5000.0,6000.0,7000.0
CYP,2006,,,
PRK,2006,,,
SLV,2006,2000.0,2300.0,2700.0
ERI,2006,770.0,1100.0,1500.0
GAB,2006,2200.0,2800.0,3600.0
GEO,2006,,,
GIN,2006,6700.0,8200.0,10000.0
GUY,2006,530.0,630.0,710.0
IRN,2006,3500.0,5400.0,7600.0
ISR,2006,,,
KWT,2006,,,
LAO,2006,870.0,970.0,1100.0
LBY,2006,,630.0,840.0
LUX,2006,,,
MRT,2006,,,
MEX,2006,,,
NPL,2006,3000.0,3400.0,3700.0
NZL,2006,,,
NOR,2006,,,
PAK,2006,7900.0,9400.0,11000.0
PNG,2006,2600.0,3000.0,3400.0
PRT,2006,,,
KOR,2006,,,
SRB,2006,,,
SGP,2006,,550.0,610.0
SSD,2006,11000.0,14000.0,18000.0
LKA,2006,,,
SUR,2006,,,
THA,2006,20000.0,22000.0,25000.0
TGO,2006,7200.0,8700.0,11000.0
ARE,2006,,,
TZA,2006,99000.0,110000.0,110000.0
ZMB,2006,53000.0,62000.0,75000.0
AFG,2007,,560.0,1400.0
ARM,2007,,,
AUT,2007,,,
BEL,2007,,,
BEN,2007,2500.0,5200.0,10000.0
BGR,2007,,,
BDI,2007,4200.0,5200.0,6300.0
CAF,2007,8500.0,10000.0,13000.0
CHL,2007,2000.0,2300.0,2700.0
HRV,2007,,,
CYP,2007,,,
ECU,2007,1800.0,2700.0,5000.0
SLV,2007,1900.0,2200.0,2600.0
ETH,2007,18000.0,34000.0,60000.0
FIN,2007,,,
GRC,2007,,,
GIN,2007,6200.0,7700.0,9500.0
IND,2007,,,
IRN,2007,3400.0,5200.0,7600.0
JPN,2007,,,
KAZ,2007,1300.0,1500.0,1600.0
LSO,2007,20000.0,23000.0,24000.0
LBY,2007,,680.0,910.0
MLI,2007,,,
MRT,2007,,,
MAR,2007,1000.0,1300.0,1800.0
MMR,2007,18000.0,20000.0,22000.0
NGA,2007,70000.0,120000.0,200000.0
NOR,2007,,,
PHL,2007,1500.0,1800.0,2100.0
PRT,2007,,,
RUS,2007,,,
SAU,2007,,,
SOM,2007,1000.0,1300.0,1500.0
SSD,2007,11000.0,14000.0,19000.0
SYR,2007,,,
THA,2007,18000.0,20000.0,22000.0
TUR,2007,,,
UGA,2007,89000.0,99000.0,110000.0
UZB,2007,2900.0,3000.0,3100.0
VNM,2007,19000.0,21000.0,23000.0
AGO,2008,21000.0,25000.0,30000.0
ARM,2008,,,
BHR,2008,,,
BRB,2008,,,
BEL,2008,,,
BIH,2008,,,
BRA,2008,19000.0,42000.0,61000.0
CAN,2008,,,
CAF,2008,8000.0,9700.0,12000.0
COM,2008,,,
CRI,2008,,680.0,870.0
HRV,2008,,,
COD,2008,33000.0,40000.0,48000.0
DJI,2008,,,760.0
EST,2008,,,
ETH,2008,17000.0,31000.0,54000.0
GMB,2008,1500.0,2000.0,2700.0
DEU,2008,,,
GLOBAL,1990,1400000.0,1900000.0,2600000.0
GLOBAL,1991,1600000.0,2200000.0,2900000.0
GLOBAL,2005,1800000.0,2400000.0,3200000.0
GLOBAL,2006,1700000.0,2300000.0,3200000.0
GLOBAL,2007,1700000.0,2300000.0,3100000.0
GLOBAL,2008,1700000.0,2200000.0,3000000.0
,1991,1200000.0,1600000.0,2200000.0
,1992,1300000.0,1800000.0,2400000.0
,1993,1400000.0,1900000.0,2600000.0
,1994,1500000.0,1900000.0,2700000.0
,1995,1500000.0,2000000.0,2700000.0
,2008,1200000.0,1600000.0,2200000.0
,2009,1200000.0,1500000.0,2100000.0
,2010,1100000.0,1500000.0,2000000.0
,2011,1100000.0,1400000.0,2000000.0
,1995,120000.0,180000.0,250000.0
,1996,120000.0,180000.0,250000.0
,1997,120000.0,180000.0,250000.0
,1998,120000.0,190000.0,260000.0
,2012,110000.0,170000.0,230000.0
,2013,110000.0,170000.0,230000.0
,2014,110000.0,170000.0,240000.0
,2015,110000.0,170000.0,240000.0
,1998,10000.0,14000.0,21000.0
,1999,11000.0,15000.0,22000.0
,2000,12000.0,16000.0,24000.0
,2001,12000.0,17000.0,25000.0
,2002,13000.0,17000.0,26000.0
,2015,27000.0,36000.0,55000.0
,2016,28000.0,37000.0,57000.0
,2017,29000.0,38000.0,59000.0
,2018,31000.0,41000.0,63000.0
,2002,83000.0,100000.0,120000.0
,2003,86000.0,100000.0,130000.0
,2004,90000.0,110000.0,130000.0
,2005,92000.0,110000.0,140000.0
,2018,150000.0,190000.0,230000.0
,2019,160000.0,190000.0,240000.0
,1990,170000.0,240000.0,310000.0
,1991,230000.0,320000.0,420000.0
,1992,270000.0,380000.0,500000.0
,2005,160000.0,230000.0,300000.0
,2006,160000.0,230000.0,300000.0
,2007,160000.0,230000.0,300000.0
,2008,160000.0,220000.0,290000.0
,1992,25000.0,40000.0,53000.0
,1993,32000.0,50000.0,67000.0
,1994,87000.0,140000.0,180000.0
,1995,81000.0,130000.0,170000.0
,2009,69000.0,110000.0,150000.0
,2010,69000.0,110000.0,150000.0
,2011,68000.0,110000.0,140000.0
,2012,68000.0,110000.0,140000.0
ARG,2000,5200.0,6200.0,7400.0
ARM,2000,,,520.0
AUS,2000,,650.0,900.0
AUT,2000,,,
BRA,2000,24000.0,51000.0,74000.0
BRN,2000,,,
BGR,2000,,,
BFA,2000,8400.0,10000.0,12000.0
CIV,2000,47000.0,56000.0,65000.0
HRV,2000,,,
CUB,2000,,780.0,1200.0
CYP,2000,,,
SWZ,2000,15000.0,16000.0,18000.0
ETH,2000,32000.0,58000.0,100000.0
FJI,2000,,,
FIN,2000,,,
HUN,2000,,,
ISL,2000,,,
IND,2000,,,
IDN,2000,,,
LBN,2000,,,
LSO,2000,31000.0,35000.0,39000.0
LBR,2000,4300.0,5200.0,6400.0
LBY,2000,,,
MNE,2000,,,
MAR,2000,960.0,1300.0,1700.0
MOZ,2000,91000.0,140000.0,220000.0
MMR,2000,24000.0,27000.0,30000.0
NAM,2000,16000.0,18000.0,21000.0
PRY,2000,1500.0,2400.0,4100.0
PER,2000,3600.0,4400.0,5300.0
PHL,2000,,,
POL,2000,,,
SVN,2000,,,
SOM,2000,1900.0,2200.0,2500.0
ZAF,2000,510000.0,540000.0,580000.0
SSD,2000,9200.0,13000.0,18000.0
TUR,2000,,,
TKM,2000,,,
UGA,2000,86000.0,96000.0,110000.0
UKR,2000,27000.0,30000.0,34000.0
ALB,2001,,,
DZA,2001,,,550.0
AGO,2001,13000.0,17000.0,20000.0
ARG,2001,5000.0,6000.0,7300.0
BOL,2001,1000.0,1400.0,2000.0
BIH,2001,,,
BWA,2001,22000.0,24000.0,25000.0
BRA,2001,24000.0,50000.0,73000.0
COM,2001,,,
COG,2001,5300.0,6200.0,7000.0
CRI,2001,,,620.0
CIV,2001,43000.0,51000.0,58000.0
GNQ,2001,1600.0,2100.0,2800.0
ERI,2001,960.0,1300.0,1900.0
EST,2001,,,
SWZ,2001,14000.0,16000.0,17000.0
ETH,2001,29000.0,53000.0,92000.0
GUY,2001,620.0,770.0,940.0
HTI,2001,11000.0,12000.0,14000.0
HND,2001,1300.0,1800.0,2400.0
HUN,2001,,,
KGZ,2001,,,
LAO,2001,710.0,790.0,870.0
LVA,2001,,,
LBN,2001,,,
MEX,2001,,,
MNG,2001,,,
MNE,2001,,,
MAR,2001,1000.0,1300.0,1800.0
PAK,2001,,,
PAN,2001,,,
PNG,2001,3300.0,3800.0,4400.0
PRY,2001,1500.0,2300.0,3800.0
SLE,2001,4800.0,5800.0,6600.0
SGP,2001,,,
SVK,2001,,,
SVN,2001,,,
TGO,2001,8400.0,11000.0,13000.0
TTO,2001,940.0,1100.0,1200.0
TUN,2001,,,
TUR,2001,,,
ZMB,2001,60000.0,70000.0,85000.0
ZWE,2001,72000.0,100000.0,140000.0
AFG,2002,,,880.0
ALB,2002,,,
DZA,2002,,,630.0
BLZ,2002,,,
BEN,2002,2800.0,5800.0,12000.0
BTN,2002,,,
BOL,2002,900.0,1200.0,1600.0
CHL,2002,1900.0,2200.0,2500.0
CHN,2002,,,
COL,2002,8100.0,10000.0,13000.0
COM,2002,,,
ECU,2002,1900.0,2700.0,4700.0
